Metric,Value
Total Revenue,"$15,680,869,265"
Total Gross Profit,"$1,517,418,746"
Overall Margin (%),9.68%
Total Orders,"650,651"
Overall AOV,"$24,100.28"
Total Return Rate (%),1.24%
Number of Categories,4
Top Category,Streetwear
Top Category Revenue,"$12,558,477,099"
Top Category Margin (%),9.28%
Highest Margin Category,GenZ
Highest Margin (%),15.47%
Lowest Margin Category,Casual
Lowest Margin (%),7.66%
Margin Variance (pp),7.80
Top Category Forecast (+1M),"$71,725,039"
Top Category Trend Slope ($/month),"$-440,085"
Best Efficiency Category,Streetwear
Worst Efficiency Category,Casual
Total Refund Amount,"$510,598,507"
